1.0,Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
2.0,30 January,1,1,0,0,0,0
3.0,31 January,0,1,0,0,0,0
4.0,01 February,0,1,0,0,0,0
5.0,02 February,1,2,0,0,0,0
6.0,03 February,1,3,0,0,0,0
7.0,04 February,0,3,0,0,0,0
8.0,05 February,0,3,0,0,0,0
9.0,06 February,0,3,0,0,0,0
10.0,07 February,0,3,0,0,0,0
11.0,08 February,0,3,0,0,0,0
12.0,09 February,0,3,0,0,0,0
13.0,10 February,0,3,0,0,0,0
14.0,11 February,0,3,0,0,0,0
15.0,12 February,0,3,0,0,0,0
16.0,13 February,0,3,1,1,0,0
17.0,14 February,0,3,0,1,0,0
18.0,15 February,0,3,0,1,0,0
19.0,16 February,0,3,1,2,0,0
20.0,17 February,0,3,0,2,0,0
21.0,18 February,0,3,0,2,0,0
22.0,19 February,0,3,0,2,0,0
23.0,20 February,0,3,1,3,0,0
24.0,21 February,0,3,0,3,0,0
25.0,22 February,0,3,0,3,0,0
26.0,23 February,0,3,0,3,0,0
27.0,24 February,0,3,0,3,0,0
28.0,25 February,0,3,0,3,0,0
29.0,26 February,0,3,0,3,0,0
30.0,27 February,0,3,0,3,0,0
31.0,28 February,0,3,0,3,0,0
32.0,29 February,0,3,0,3,0,0
33.0,01 March,0,3,0,3,0,0
34.0,02 March,2,5,0,3,0,0
35.0,03 March,1,6,0,3,0,0
36.0,04 March,22,28,0,3,0,0
37.0,05 March,2,30,0,3,0,0
38.0,06 March,1,31,0,3,0,0
39.0,07 March,3,34,0,3,0,0
40.0,08 March,5,39,0,3,0,0
41.0,09 March,9,48,0,3,0,0
42.0,10 March,15,63,1,4,0,0
43.0,11 March,7,70,0,4,0,0
44.0,12 March,12,82,0,4,1,1
45.0,13 March,9,91,6,10,0,1
46.0,14 March,16,107,0,10,1,2
47.0,15 March,5,112,3,13,0,2
48.0,16 March,15,127,1,14,0,2
49.0,17 March,19,146,1,15,1,3
50.0,18 March,25,171,0,15,0,3
51.0,19 March,27,198,5,20,1,4
52.0,20 March,60,258,3,23,0,4
53.0,21 March,76,334,0,23,0,4
54.0,22 March,69,403,0,23,3,7
55.0,23 March,94,497,2,25,2,9
56.0,24 March,74,571,15,40,1,10
57.0,25 March,86,657,3,43,1,11
58.0,26 March,73,730,7,50,5,16
59.0,27 March,153,883,25,75,3,19
60.0,28 March,141,1024,10,85,5,24
61.0,29 March,115,1139,17,102,3,27
62.0,30 March,190,1329,35,137,16,43
63.0,31 March,306,1635,13,150,6,49
64.0,01 April,424,2059,19,169,7,56
65.0,02 April,486,2545,22,191,16,72
66.0,03 April,560,3105,39,230,14,86
67.0,04 April,579,3684,56,286,13,99
68.0,05 April,605,4289,43,329,22,121
69.0,06 April,489,4778,65,394,16,137
70.0,07 April,573,5351,75,469,26,163
71.0,08 April,565,5916,96,565,20,183
